# Mid-cap rating-rationale registry (batch 1+). Amount-weighted PSB share from
# CRISIL "Details of Bank Lenders & Facilities" annexures. Amount in Rs crore.
# PSB (amount) = sum(facility amt at PSB banks) / sum(all named-bank facility amt).
SOURCE|IRB|CRISIL|2023-09-12|https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/IRBInfrastructureDevelopersLimited_September%2012,%202023_RR_327729.html
FACILITY|IRB|IDFC FIRST Bank Limited|Bank Guarantee|300
FACILITY|IRB|Punjab National Bank|Bank Guarantee|196
FACILITY|IRB|Bank of Baroda|Bank Guarantee|165
FACILITY|IRB|Andhra Bank|Bank Guarantee|105
FACILITY|IRB|Bank of India|Bank Guarantee|94
FACILITY|IRB|Corporation Bank|Bank Guarantee|50
FACILITY|IRB|Canara Bank|Bank Guarantee|290
FACILITY|IRB|Andhra Bank|Long Term Loan|249.89
FACILITY|IRB|Canara Bank|Long Term Loan|200
FACILITY|IRB|Housing Development Finance Corporation Limited|Long Term Loan|410
FACILITY|IRB|Canara Bank|Long Term Loan|500
FACILITY|IRB|Union Bank of India|Long Term Loan|500
BANKNAMES|IRB|yes
SOURCE|SHYAMMETL|CRISIL|2025-11-05|https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/ShyamMetalicsandEnergyLimited_November%2005_%202025_RR_381110.html
FACILITY|SHYAMMETL|YES Bank Limited|Capex LC|150
FACILITY|SHYAMMETL|ICICI Bank Limited|Capex LC|50
FACILITY|SHYAMMETL|Punjab National Bank|Capex LC|100
FACILITY|SHYAMMETL|Indian Bank|Capex LC|50
FACILITY|SHYAMMETL|Axis Bank Limited|Capex LC|75
FACILITY|SHYAMMETL|Axis Bank Limited|Cash Credit|70
FACILITY|SHYAMMETL|YES Bank Limited|Cash Credit|5
FACILITY|SHYAMMETL|HDFC Bank Limited|Cash Credit|100
FACILITY|SHYAMMETL|IDFC FIRST Bank Limited|Cash Credit|5
FACILITY|SHYAMMETL|Indian Bank|Cash Credit|5
FACILITY|SHYAMMETL|UCO Bank|Cash Credit|75
FACILITY|SHYAMMETL|State Bank of India|Cash Credit|300
FACILITY|SHYAMMETL|Punjab National Bank|Cash Credit|340
FACILITY|SHYAMMETL|ICICI Bank Limited|Cash Credit|100
FACILITY|SHYAMMETL|HDFC Bank Limited|LC and BG|295
FACILITY|SHYAMMETL|Indian Bank|LC and BG|95
FACILITY|SHYAMMETL|State Bank of India|LC and BG|50
FACILITY|SHYAMMETL|YES Bank Limited|LC and BG|305
FACILITY|SHYAMMETL|ICICI Bank Limited|LC and BG|315
FACILITY|SHYAMMETL|State Bank of India|LC and BG|100
FACILITY|SHYAMMETL|IDFC FIRST Bank Limited|LC and BG|115
FACILITY|SHYAMMETL|Axis Bank Limited|LC and BG|390
FACILITY|SHYAMMETL|Punjab National Bank|LC and BG|210
FACILITY|SHYAMMETL|UCO Bank|LC and BG|125
FACILITY|SHYAMMETL|HDFC Bank Limited|LC and BG|150
BANKNAMES|SHYAMMETL|yes
SOURCE|GPIL|CRISIL|2026-05-26|https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/GodawariPowerandIspatLimited_May%2026_%202026_RR_393349.html
FACILITY|GPIL|Axis Bank Limited|Bank Guarantee|15
FACILITY|GPIL|IDBI Bank Limited|Bank Guarantee|70
FACILITY|GPIL|State Bank of India|Bank Guarantee|110
FACILITY|GPIL|ICICI Bank Limited|Bill Discounting|40
FACILITY|GPIL|IDBI Bank Limited|Cash Credit|75
FACILITY|GPIL|State Bank of India|Cash Credit|200
FACILITY|GPIL|Axis Bank Limited|Cash Credit|75
FACILITY|GPIL|State Bank of India|Letter of Credit|55
FACILITY|GPIL|State Bank of India|Letter of Credit|167
FACILITY|GPIL|ICICI Bank Limited|Letter of Credit|40
FACILITY|GPIL|IDBI Bank Limited|Letter of Credit|103
FACILITY|GPIL|Axis Bank Limited|Letter of Credit|205
FACILITY|GPIL|Axis Bank Limited|LER Limits|15
FACILITY|GPIL|State Bank of India|Term Loan|895
FACILITY|GPIL|Axis Bank Limited|Term Loan|300
BANKNAMES|GPIL|yes
SOURCE|SARDAEN|CRISIL|2025-11-11|https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/SardaEnergyandMineralsLimited_November%2011_%202025_RR_377620.html
FACILITY|SARDAEN|RBL Bank Limited|Bank Guarantee|9
FACILITY|SARDAEN|State Bank of India|Bank Guarantee|8
FACILITY|SARDAEN|Axis Bank Limited|Bank Guarantee|12
FACILITY|SARDAEN|YES Bank Limited|Bank Guarantee|49
FACILITY|SARDAEN|Union Bank of India|Bank Guarantee|21
FACILITY|SARDAEN|Bank of Baroda|Bank Guarantee|160
FACILITY|SARDAEN|Bank of Baroda|Cash Credit|60.1
FACILITY|SARDAEN|State Bank of India|Cash Credit|10
FACILITY|SARDAEN|Axis Bank Limited|Cash Credit|28.05
FACILITY|SARDAEN|RBL Bank Limited|Cash Credit|29.55
FACILITY|SARDAEN|Union Bank of India|Cash Credit|63.72
FACILITY|SARDAEN|RBL Bank Limited|Letter of Credit|67
FACILITY|SARDAEN|Axis Bank Limited|Letter of Credit|77.65
FACILITY|SARDAEN|State Bank of India|Letter of Credit|37
